ihghgighi;contaCreditoCode;data;valor;historico;numeroDocumento
3.3.1.02.002;2.1.3.02.003;31/01/2025;7741.32;VL FGTS SALÁRIO;FIL095
3.3.1.02.002;2.1.3.02.003;31/01/2025;6510.25;VL FGTS SALÁRIO;FIL095
3.3.1.02.002;2.1.3.02.003;31/01/2025;8593.25;VL FGTS SALÁRIO;FIL095
3.3.1.02.002;2.1.3.02.003;31/01/2025;2136.2;VL FGTS SALÁRIO;FIL095
3.3.1.02.002;2.1.3.02.003;31/01/2025;478.94;VL FGTS FÉRIAS;FIL095
3.3.1.02.002;2.1.3.02.003;31/01/2025;1090.79;VL FGTS FÉRIAS;FIL095
3.3.1.02.002;2.1.3.02.003;31/01/2025;1581.61;VL FGTS FÉRIAS;FIL095
3.3.1.02.002;2.1.3.02.003;31/01/2025;1162.65;VL FGTS FÉRIAS;FIL095
3.3.1.02.002;2.1.3.02.003;31/01/2025;1509.57;VL FGTS FÉRIAS;FIL095
3.3.1.02.002;2.1.3.02.003;31/01/2025;155.44;VL FGTS 13o;FIL095
3.3.1.02.002;2.1.3.02.003;31/01/2025;395.91;VL FGTS 13o;FIL095
;2.1.3.01.001;31/01/2025;68173.05;LIQUIDO SALARIO;FIL095
;2.1.3.01.001;31/01/2025;12592.23;LIQUIDO SALARIO;FIL095
;2.1.3.01.001;31/01/2025;2500.2;LIQUIDO SALARIO;FIL095
;2.1.3.01.001;31/01/2025;5544.75;LIQUIDO SALARIO;FIL095
;2.1.3.01.001;31/01/2025;4021.47;LIQUIDO SALARIO;FIL095
;2.1.3.01.001;31/01/2025;97460.19;LIQUIDO SALARIO;FIL095
;2.1.3.01.001;31/01/2025;48971.12;LIQUIDO SALARIO;FIL095
;2.1.3.01.001;31/01/2025;63688.57;LIQUIDO SALARIO;FIL095
;2.1.3.01.001;31/01/2025;56890.75;LIQUIDO SALARIO;FIL095
;2.1.3.01.001;31/01/2025;56868.72;LIQUIDO SALARIO;FIL095
;2.1.3.01.001;31/01/2025;14587.03;LIQUIDO SALARIO;FIL095
3.3.1.01.018;2.1.3.03.001;31/01/2025;29149.66;PROVISÃO DE FÉRIAS;FIL095
3.3.1.01.018;2.1.3.03.001;31/01/2025;8890.87;PROVISÃO DE FÉRIAS;FIL095
3.3.1.01.018;2.1.3.03.001;31/01/2025;1815.9;PROVISÃO DE FÉRIAS;FIL095
3.3.1.01.018;2.1.3.03.001;31/01/2025;1240.07;PROVISÃO DE FÉRIAS;FIL095
3.3.1.01.018;2.1.3.03.001;31/01/2025;1090.33;PROVISÃO DE FÉRIAS;FIL095
3.3.1.01.018;2.1.3.03.001;31/01/2025;1595.05;PROVISÃO DE FÉRIAS;FIL095
3.3.1.01.018;2.1.3.03.001;31/01/2025;14818.75;PROVISÃO DE FÉRIAS;FIL095
3.3.1.01.018;2.1.3.03.001;31/01/2025;7428.85;PROVISÃO DE FÉRIAS;FIL095
3.3.1.01.018;2.1.3.03.001;31/01/2025;11773.47;PROVISÃO DE FÉRIAS;FIL095
3.3.1.01.018;2.1.3.03.001;31/01/2025;10689.53;PROVISÃO DE FÉRIAS;FIL095
3.3.1.01.018;2.1.3.03.001;31/01/2025;12945.22;PROVISÃO DE FÉRIAS;FIL095
3.3.1.01.018;2.1.3.03.001;31/01/2025;4539.44;PROVISÃO DE FÉRIAS;FIL095
3.3.1.02.003;2.1.3.03.002;31/01/2025;7812.11;PROVISÃO DE INSS S/FÉRIAS;FIL095
3.3.1.02.003;2.1.3.03.002;31/01/2025;2382.75;PROVISÃO DE INSS S/FÉRIAS;FIL095
3.3.1.02.003;2.1.3.03.002;31/01/2025;486.66;PROVISÃO DE INSS S/FÉRIAS;FIL095
3.3.1.02.003;2.1.3.03.002;31/01/2025;332.35;PROVISÃO DE INSS S/FÉRIAS;FIL095
3.3.1.02.003;2.1.3.03.002;31/01/2025;292.2;PROVISÃO DE INSS S/FÉRIAS;FIL095
3.3.1.02.003;2.1.3.03.002;31/01/2025;427.47;PROVISÃO DE INSS S/FÉRIAS;FIL095
3.3.1.02.003;2.1.3.03.002;31/01/2025;3971.43;PROVISÃO DE INSS S/FÉRIAS;FIL095
3.3.1.02.003;2.1.3.03.002;31/01/2025;1990.94;PROVISÃO DE INSS S/FÉRIAS;FIL095
3.3.1.02.003;2.1.3.03.002;31/01/2025;3155.29;PROVISÃO DE INSS S/FÉRIAS;FIL095
3.3.1.02.003;2.1.3.03.002;31/01/2025;2864.8;PROVISÃO DE INSS S/FÉRIAS;FIL095
3.3.1.02.003;2.1.3.03.002;31/01/2025;3469.29;PROVISÃO DE INSS S/FÉRIAS;FIL095
3.3.1.02.003;2.1.3.03.002;31/01/2025;1216.57;PROVISÃO DE INSS S/FÉRIAS;FIL095
3.3.1.02.004;2.1.3.03.003;31/01/2025;2331.98;PROVISÃO DE FGTS S/FÉRIAS;FIL095
3.3.1.02.004;2.1.3.03.003;31/01/2025;711.28;PROVISÃO DE FGTS S/FÉRIAS;FIL095
3.3.1.02.004;2.1.3.03.003;31/01/2025;145.26;PROVISÃO DE FGTS S/FÉRIAS;FIL095
3.3.1.02.004;2.1.3.03.003;31/01/2025;99.2;PROVISÃO DE FGTS S/FÉRIAS;FIL095
3.3.1.02.004;2.1.3.03.003;31/01/2025;87.23;PROVISÃO DE FGTS S/FÉRIAS;FIL095
3.3.1.02.004;2.1.3.03.003;31/01/2025;127.61;PROVISÃO DE FGTS S/FÉRIAS;FIL095
3.3.1.02.004;2.1.3.03.003;31/01/2025;1185.5;PROVISÃO DE FGTS S/FÉRIAS;FIL095
3.3.1.02.004;2.1.3.03.003;31/01/2025;594.31;PROVISÃO DE FGTS S/FÉRIAS;FIL095
3.3.1.02.004;2.1.3.03.003;31/01/2025;941.88;PROVISÃO DE FGTS S/FÉRIAS;FIL095
3.3.1.02.004;2.1.3.03.003;31/01/2025;855.16;PROVISÃO DE FGTS S/FÉRIAS;FIL095
3.3.1.02.004;2.1.3.03.003;31/01/2025;1035.61;PROVISÃO DE FGTS S/FÉRIAS;FIL095
3.3.1.02.004;2.1.3.03.003;31/01/2025;363.16;PROVISÃO DE FGTS S/FÉRIAS;FIL095
3.3.1.01.019;2.1.3.03.004;31/01/2025;21862.25;PROVISÃO DE 13 SALÁRIO;FIL095
3.3.1.01.019;2.1.3.03.004;31/01/2025;8879.68;PROVISÃO DE 13 SALÁRIO;FIL095
3.3.1.01.019;2.1.3.03.004;31/01/2025;1734.6;PROVISÃO DE 13 SALÁRIO;FIL095
3.3.1.01.019;2.1.3.03.004;31/01/2025;504.85;PROVISÃO DE 13 SALÁRIO;FIL095
3.3.1.01.019;2.1.3.03.004;31/01/2025;881.73;PROVISÃO DE 13 SALÁRIO;FIL095
3.3.1.01.019;2.1.3.03.004;31/01/2025;569.87;PROVISÃO DE 13 SALÁRIO;FIL095
3.3.1.01.019;2.1.3.03.004;31/01/2025;12766.34;PROVISÃO DE 13 SALÁRIO;FIL095
3.3.1.01.019;2.1.3.03.004;31/01/2025;6728.05;PROVISÃO DE 13 SALÁRIO;FIL095
3.3.1.01.019;2.1.3.03.004;31/01/2025;8830.09;PROVISÃO DE 13 SALÁRIO;FIL095
3.3.1.01.019;2.1.3.03.004;31/01/2025;8017.15;PROVISÃO DE 13 SALÁRIO;FIL095
3.3.1.01.019;2.1.3.03.004;31/01/2025;9859.65;PROVISÃO DE 13 SALÁRIO;FIL095
3.3.1.01.019;2.1.3.03.004;31/01/2025;3404.57;PROVISÃO DE 13 SALÁRIO;FIL095
3.3.1.02.005;2.1.3.03.005;31/01/2025;5859.08;PROVISÃO DE INSS/13 SALÁRIO;FIL095
3.3.1.02.005;2.1.3.03.005;31/01/2025;2379.75;PROVISÃO DE INSS/13 SALÁRIO;FIL095
3.3.1.02.005;2.1.3.03.005;31/01/2025;464.87;PROVISÃO DE INSS/13 SALÁRIO;FIL095
3.3.1.02.005;2.1.3.03.005;31/01/2025;135.3;PROVISÃO DE INSS/13 SALÁRIO;FIL095
3.3.1.02.005;2.1.3.03.005;31/01/2025;236.3;PROVISÃO DE INSS/13 SALÁRIO;FIL095
3.3.1.02.005;2.1.3.03.005;31/01/2025;152.73;PROVISÃO DE INSS/13 SALÁRIO;FIL095
3.3.1.02.005;2.1.3.03.005;31/01/2025;3421.38;PROVISÃO DE INSS/13 SALÁRIO;FIL095
3.3.1.02.005;2.1.3.03.005;31/01/2025;1803.11;PROVISÃO DE INSS/13 SALÁRIO;FIL095
3.3.1.02.005;2.1.3.03.005;31/01/2025;2366.46;PROVISÃO DE INSS/13 SALÁRIO;FIL095
3.3.1.02.005;2.1.3.03.005;31/01/2025;2148.6;PROVISÃO DE INSS/13 SALÁRIO;FIL095
3.3.1.02.005;2.1.3.03.005;31/01/2025;2642.38;PROVISÃO DE INSS/13 SALÁRIO;FIL095
3.3.1.02.005;2.1.3.03.005;31/01/2025;912.42;PROVISÃO DE INSS/13 SALÁRIO;FIL095
3.3.1.02.006;2.1.3.03.006;31/01/2025;1748.98;PROVISÃO DE FGTS/13 SALÁRIO;FIL095
3.3.1.02.006;2.1.3.03.006;31/01/2025;710.37;PROVISÃO DE FGTS/13 SALÁRIO;FIL095
3.3.1.02.006;2.1.3.03.006;31/01/2025;138.77;PROVISÃO DE FGTS/13 SALÁRIO;FIL095
3.3.1.02.006;2.1.3.03.006;31/01/2025;40.39;PROVISÃO DE FGTS/13 SALÁRIO;FIL095
3.3.1.02.006;2.1.3.03.006;31/01/2025;70.54;PROVISÃO DE FGTS/13 SALÁRIO;FIL095
3.3.1.02.006;2.1.3.03.006;31/01/2025;45.59;PROVISÃO DE FGTS/13 SALÁRIO;FIL095
3.3.1.02.006;2.1.3.03.006;31/01/2025;1021.31;PROVISÃO DE FGTS/13 SALÁRIO;FIL095
3.3.1.02.006;2.1.3.03.006;31/01/2025;538.25;PROVISÃO DE FGTS/13 SALÁRIO;FIL095
3.3.1.02.006;2.1.3.03.006;31/01/2025;706.41;PROVISÃO DE FGTS/13 SALÁRIO;FIL095
3.3.1.02.006;2.1.3.03.006;31/01/2025;641.37;PROVISÃO DE FGTS/13 SALÁRIO;FIL095
3.3.1.02.006;2.1.3.03.006;31/01/2025;788.78;PROVISÃO DE FGTS/13 SALÁRIO;FIL095
3.3.1.02.006;2.1.3.03.006;31/01/2025;272.37;PROVISÃO DE FGTS/13 SALÁRIO;FIL095
2.1.3.03.001;3.3.1.01.018;31/01/2025;5986.83;BAIXA PROVISÃO DE FÉRIAS;FIL095
2.1.3.03.001;3.3.1.01.018;31/01/2025;2914.52;BAIXA PROVISÃO DE FÉRIAS;FIL095
2.1.3.03.001;3.3.1.01.018;31/01/2025;13634.96;BAIXA PROVISÃO DE FÉRIAS;FIL095
2.1.3.03.001;3.3.1.01.018;31/01/2025;25701.21;BAIXA PROVISÃO DE FÉRIAS;FIL095
2.1.3.03.001;3.3.1.01.018;31/01/2025;24188.19;BAIXA PROVISÃO DE FÉRIAS;FIL095
2.1.3.03.001;3.3.1.01.018;31/01/2025;18869.71;BAIXA PROVISÃO DE FÉRIAS;FIL095
2.1.3.03.002;3.3.1.02.003;31/01/2025;1604.47;BAIXA PROVISÃO DE INSS S/FÉRIAS;FIL095
2.1.3.03.002;3.3.1.02.003;31/01/2025;781.09;BAIXA PROVISÃO DE INSS S/FÉRIAS;FIL095
2.1.3.03.002;3.3.1.02.003;31/01/2025;3654.17;BAIXA PROVISÃO DE INSS S/FÉRIAS;FIL095
2.1.3.03.002;3.3.1.02.003;31/01/2025;6887.92;BAIXA PROVISÃO DE INSS S/FÉRIAS;FIL095
2.1.3.03.002;3.3.1.02.003;31/01/2025;6482.43;BAIXA PROVISÃO DE INSS S/FÉRIAS;FIL095
2.1.3.03.002;3.3.1.02.003;31/01/2025;5057.08;BAIXA PROVISÃO DE INSS S/FÉRIAS;FIL095
2.1.3.03.003;3.3.1.02.004;31/01/2025;478.95;BAIXA PROVISÃO DE FGTS S/FÉRIAS;FIL095
2.1.3.03.003;3.3.1.02.004;31/01/2025;233.16;BAIXA PROVISÃO DE FGTS S/FÉRIAS;FIL095
2.1.3.03.003;3.3.1.02.004;31/01/2025;1090.8;BAIXA PROVISÃO DE FGTS S/FÉRIAS;FIL095
